"TERM","START_DATE","END_DATE","SUBJECT","COURSE_NUMBER","SECTION","CRN","COURSE_TITLE","CREDIT","MO","TU","WE","TH","FR","SA","SU","PART_TERM","BEGINS","ENDS","FIRST_NAME","INSTRCTR","BUILDING","ROOM","MODE","INSTRUCTIONAL_METHOD","CAMPUS","COLLEGE"
"202580","2025/08/18","2025/12/10","AMST","3050","012","17131","Topics in AMST","3",".","T",".","R",".",".",".","1","1300","1415","Benny","Andres","FRET 306","306","TR","Face-to-Face Instruction","M","AS"
"202580","2025/08/18","2025/12/10","AMST","3050","013","17161","Topics in AMST","3",".","T",".","R",".",".",".","1","1300","1415","Carol","Higham","MCEN 123","123","TR","Face-to-Face Instruction","M","AS"
"202580","2025/08/18","2025/12/10","AMST","3050","014","17162","Topics in AMST","3",".","T",".","R",".",".",".","1","1600","1715","Daniel","Dupre","DENNY 205","205","TR","Face-to-Face Instruction","M","AS"
"202580","2025/08/18","2025/12/10","AMST","3050","015","17163","Topics in AMST","3","M",".","W",".","F",".",".","1","1220","1310","Gabriel","Klehr","FRET 114","114","TR","Face-to-Face Instruction","M","AS"
"202580","2025/08/18","2025/12/10","AMST","3050","090","14880","Topics in AMST","3",".",".","W",".",".",".",".","1","1830","2115","Jonathan","Perry","FRET 128","128","TR","Face-to-Face Instruction","M","AS"
"202580","2025/08/18","2025/12/10","AMST","3090","001","13630","Topics in American Film","3","M",".","W",".","F",".",".","1","1115","1205","Nicholas","Canada","DENNY 122","122","TR","Face-to-Face Instruction","M","AS"
"202580","2025/08/18","2025/12/10","AMST","3090","002","14694","Topics in American Film","3",".",".",".",".",".",".",".","1",".",".","Martin","Harris"," ",".","IA","Online:  No Specific Mtg Times","M","AS"
"202580","2025/08/18","2025/12/10","AMST","3090","090","16132","Topics in American Film","3","M",".",".",".",".",".",".","1","1730","2015","David","Gray","MACY 201","201","TR","Face-to-Face Instruction","M","AS"
"202580","2025/08/18","2025/12/10","AMST","3100","001","14095","Intro to American Studies","3",".",".",".",".",".",".",".","1",".",".","Angelina","Brooks"," ",".","IA","Online:  No Specific Mtg Times","M","AS"
"202580","2025/08/18","2025/12/10","AMST","3100","003","10067","Intro to American Studies","3",".",".",".",".",".",".",".","1",".",".","Marion","Bruner"," ",".","IA","Online:  No Specific Mtg Times","M","AS"
"202580","2025/08/18","2025/12/10","AMST","3100","005","10866","Intro to American Studies","3",".",".",".",".",".",".",".","1",".",".","Wolfgang","Schacht"," ",".","IA","Online:  No Specific Mtg Times","M","AS"
"202580","2025/08/18","2025/12/10","AMST","3100","007","14097","Intro to American Studies","3","M",".","W",".","F",".",".","1","1010","1100","Nicholas","Canada","DENNY 111","111","TR","Face-to-Face Instruction","M","AS"
"202580","2025/08/18","2025/12/10","AMST","3100","008","14096","Intro to American Studies","3",".",".",".",".",".",".",".","1",".",".","Shannon","Bauerle"," ",".","IA","Online:  No Specific Mtg Times","M","AS"
"202580","2025/08/18","2025/12/10","AMST","3100","010","14094","Intro to American Studies","3","M",".","W",".",".",".",".","1","1430","1545","Lee Ann","Pounds","DENNY 120","120","TR","Face-to-Face Instruction","M","AS"
"202580","2025/08/18","2025/12/10","AMST","3100","011","15971","Intro to American Studies","3",".",".",".",".",".",".",".","1",".",".","Marion","Bruner"," ",".","IA","Online:  No Specific Mtg Times","M","AS"
"202580","2025/08/18","2025/12/10","AMST","3100","080","15967","Intro to American Studies","3",".",".",".",".",".",".",".","1",".",".","Angelina","Brooks"," ",".","IA","Online:  No Specific Mtg Times","D","AS"
"202580","2025/08/18","2025/12/10","AMST","3100","081","15968","Intro to American Studies","3",".",".",".",".",".",".",".","1",".",".","Marion","Bruner"," ",".","IA","Online:  No Specific Mtg Times","D","AS"
"202580","2025/08/18","2025/12/10","AMST","3100","082","15969","Intro to American Studies","3",".",".",".",".",".",".",".","1",".",".","Wolfgang","Schacht"," ",".","IA","Online:  No Specific Mtg Times","D","AS"
"202580","2025/08/18","2025/12/10","AMST","3100","083","15970","Intro to American Studies","3",".",".",".",".",".",".",".","1",".",".","Shannon","Bauerle"," ",".","IA","Online:  No Specific Mtg Times","D","AS"
"202580","2025/08/18","2025/12/10","AMST","3100","084","15973","Intro to American Studies","3",".",".",".",".",".",".",".","1",".",".","Marion","Bruner"," ",".","IA","Online:  No Specific Mtg Times","D","AS"
"202580","2025/08/18","2025/12/10","AMST","4050","001","12760","Topics in AMST","3",".",".",".",".",".",".",".","1",".",".","Stephen","Cheyney"," ",".","IA","Online:  No Specific Mtg Times","M","AS"
